"TRDAPL","TRDCOD","TRDNUO","TRDNUI","TRDCNV","TRDJUS","TRDIMV","TRDDFT"
"NR2","RPAR","001","001","C","I","N",""
"ATM","RT28","001","001","C","I","N",""
"TBC","RCCW","001","001","C","I","N",""
"TBC","RT28","001","001","C","I","N",""
"TOT","RT28","001","001","C","I","N",""
"WEB","RT28","001","001","C","I","N",""
"WEB","RCCW","001","001","C","I","N",""
"SVP","RT28","001","001","C","I","N",""
"SVP","RCCW","001","001","C","I","N",""
"SOD","RT28","001","001","C","I","N",""
"RDB","RT28","001","001","C","I","N",""
"RDB","RCCW","001","001","C","I","N",""
"RCD","RCCW","001","001","C","I","N",""
"RCD","RT28","001","001","C","I","N",""
"RCD","RTDC","001","001","C","I","N",""
"PMT","RCCW","001","001","C","I","N",""
"PMT","RT28","001","001","C","I","N",""
"IMP","RT28","001","001","C","I","N",""
"BCH","RT28","001","001","C","I","N",""
"SBG","RTRT","001","001","C","I","N",""
"TFE","RTDC","001","001","C","I","N",""
"ATM","R17C","001","","N","I","","3031152C"
"ATM","R17C","002","004","N","I","N",""
"ATM","R17C","003","","N","I","","3030152C"
"ATM","R17C","004","004","N","I","N",""
"ATM","R17C","005","","N","I","",""
"ATM","R17C","006","","N","I","",""
"ATM","R17C","007","","N","I","",""
"ATM","R17C","008","","N","I","",""
"ATM","R17C","009","","N","I","",""
"ATM","R17C","010","","N","I","",""
"ATM","R17C","011","","N","I","",""
"ATM","R17C","012","","N","I","",""
"ATM","R17C","013","","N","I","",""
"ATM","R17C","014","","N","I","",""
"ATM","R17C","015","","N","I","",""
"ATM","R17C","016","","N","I","",""
"ATM","R17C","017","","N","I","",""
"ATM","R17C","018","","N","I","",""
"ATM","R17C","019","","N","I","",""
"ATM","R17C","020","","N","I","",""
"ATM","R17C","021","","N","I","",""
"ATM","R17C","022","","N","I","",""
"ATM","R17C","023","","N","I","",""
"ATM","R17C","024","","N","I","",""
"ATM","R17C","025","","N","I","",""
"ATM","R17C","026","","N","I","",""
"ATM","R17C","027","","N","I","",""
"ATM","R17C","028","","N","I","",""
"ATM","R17C","029","","N","I","",""
"ATM","R17C","030","","N","I","",""
"ATM","R17S","001","","N","I","","3031152C"
"ATM","R17S","002","004","N","I","N",""
"ATM","R17S","003","","N","I","","3030152C"
"ATM","R17S","004","004","N","I","N",""
"ATM","R17S","005","","N","I","",""
"ATM","R17S","006","","N","I","",""
"ATM","R17S","007","","N","I","",""
"ATM","R17S","008","","N","I","",""
"ATM","R17S","009","","N","I","",""
"ATM","R17S","010","","N","I","",""
"ATM","R17S","011","","N","I","",""
"ATM","R17S","012","","N","I","",""
"ATM","R17S","013","","N","I","",""
"ATM","R17S","014","","N","I","",""
"ATM","R17S","015","","N","I","",""
"ATM","R17S","016","","N","I","",""
"ATM","R17S","017","","N","I","",""
"ATM","R17S","018","","N","I","",""
"ATM","R17S","019","","N","I","",""
"ATM","R17S","020","","N","I","",""
"ATM","R17S","021","","N","I","",""
"ATM","R17S","022","","N","I","",""
"ATM","R17S","023","","N","I","",""
"ATM","R17S","024","","N","I","",""
"ATM","R17S","025","","N","I","",""
"ATM","R17S","026","","N","I","",""
"ATM","R17S","027","","N","I","",""
"ATM","R17S","028","","N","I","",""
"ATM","R17S","029","","N","I","",""
"ATM","R17S","030","","N","I","",""
"ATM","R173","001","","N","I","","3031152C"
"ATM","R173","002","040","N","I","N",""
"ATM","R173","003","","N","I","","3030152C"
"ATM","R173","004","005","N","I","N",""
"ATM","R173","005","","N","I","",""
"ATM","R173","006","","N","I","",""
"ATM","R173","007","","N","I","",""
"ATM","R173","008","","N","I","",""
"ATM","R173","009","","N","I","",""
"ATM","R173","010","","N","I","",""
"ATM","R173","011","","N","I","",""
"ATM","R173","012","","N","I","",""
"ATM","R173","013","","N","I","",""
"ATM","R173","014","","N","I","",""
"ATM","R173","015","","N","I","",""
"ATM","R173","016","","N","I","",""
"ATM","R173","017","","N","I","",""
"ATM","R173","018","","N","I","",""
"ATM","R173","019","","N","I","",""
"ATM","R173","020","","N","I","",""
"ATM","R173","021","","N","I","",""
"ATM","R173","022","","N","I","",""
"ATM","R173","023","","N","I","",""
"ATM","R173","024","","N","I","",""
"ATM","R173","025","","N","I","",""
"ATM","R173","026","","N","I","",""
"ATM","R173","027","","N","I","",""
"ATM","R173","028","","N","I","",""
"ATM","R173","029","","N","I","",""
"ATM","R173","030","","N","I","",""
"RDB","RRDS","12D","","N","I","N",""
"RDB","RK02","37C","005","N","I","N",""
"TFE","RROK","001","001","C","I","N",""
"MCD","RS84","001","001","C","I","N",""
"MCI","RS84","001","001","C","I","N",""
"PMT","RCDP","001","001","C","I","N",""
"NRT","R025","001","001","C","I","N",""
"PYT","R025","001","001","C","I","N",""
"VIS","REMT","001","001","C","I","N",""
"MCD","RAUV","001","001","C","I","N",""
"MCD","RVCO","001","001","C","I","N",""
"NR2","RPCT","001","001","C","I","N",""
"MCD","RGGP","001","001","C","I","N",""
"MCI","RGPV","001","001","C","I","N",""
"ABR","RRSK","025","019","N","I","N",""
"MCD","RGPV","001","001","C","I","N",""
"BUS","RBTA","002","002","N","I","N",""
"BUS","RBTA","003","003","C","I","N",""
"BUS","RBTA","007","007","N","I","N",""
"BUS","RBTA","011","011","N","I","N",""
"BUS","RBTA","012","012","N","I","N",""
"BUS","RBTA","013","013","N","D","N",""
"BUS","RBTA","014","014","N","I","N",""
"BUS","RBTA","019","019","N","I","N",""
"BUS","RBTA","037","037","N","I","N",""
"BUS","RBTA","038","039","C","I","N",""
"BUS","RBTA","039","039","C","I","N",""
"BUS","RBTA","102","002","N","I","N",""
"BUS","RBTA","103","","N","I","",""
"BUS","RBTA","112","","N","I","",""
"NTW","RNST","001","001","C","I","N",""
"BUS","RK1A","APL","","N","I","","BUS"
"BUS","RK1A","COU","","N","I","","X"
"BUS","RK1A","PIV","","N","I","","1"
"BUS","RK1A","REV","","N","I","","XX"
"BUS","RK1A","STD","","N","I","","XX"
"BUS","RK1A","001","","N","I","","0600"
"BUS","RK1A","003","003","N","I","N",""
"BUS","RK2A","AÑO","","N","I","",""
"BUS","RK2A","HOR","012","N","I","N",""
"BUS","RK2A","M+D","013","N","I","N",""
"BUS","RK2A","MIL","","N","I","",""
"BUS","RK2A","001","","N","I","","0600"
"BUS","RK2A","011","011","N","I","N",""
"BUS","RK2A","037","037","N","I","N",""
"BUS","RK2A","998","","N","I","","1040"
"NTW","RK1U","APL","","N","I","","NTW"
"NTW","RK1U","CUO","","N","I","","X"
"NTW","RK1U","PIV","","N","I","","1"
"NTW","RK1U","REV","","N","I","","XX"
"NTW","RK1U","STD","","N","I","","XX"
"NTW","RK1U","001","001","N","I","N",""
"NTW","RK1U","003","002","C","I","N",""
"NTW","RBCA","002","008","N","I","N",""
"NTW","RBCA","003","","N","I","","903000"
"NTW","RBCA","007","","N","I","",""
"NTW","RBCA","011","007","N","D","N",""
"NTW","RBCA","012","006","N","I","N",""
"NTW","RBCA","013","005","N","D","N",""
"NTW","RBCA","014","","N","I","",""
"NTW","RBCA","019","","N","I","",""
"NTW","RBCA","037","007","N","I","N",""
"NTW","RBCA","038","014","N","I","N",""
"NTW","RBCA","039","015","N","I","N",""
"NTW","RBCA","102","008","N","I","N",""
"NTW","RBCA","103","","N","I","",""
"NTW","RBCA","112","","N","I","",""
"NTW","RBDA","002","008","N","I","N",""
"NTW","RBDA","003","","N","I","","900000"
"NTW","RBDA","007","","N","I","",""
"NTW","RBDA","011","007","N","D","N",""
"NTW","RBDA","012","006","N","I","N",""
"NTW","RBDA","013","005","N","D","N",""
"NTW","RBDA","014","","N","I","",""
"NTW","RBDA","019","","N","I","",""
"NTW","RBDA","037","007","N","I","N",""
"NTW","RBDA","038","016","N","I","N",""
"NTW","RBDA","039","017","N","I","N",""
"NTW","RBDA","102","008","N","I","N",""
"NTW","RBDA","103","","N","I","",""
"NTW","RBDA","112","","N","I","",""
"NTW","RUCA","002","020","N","I","N",""
"NTW","RUCA","003","","N","I","","905000"
"NTW","RUCA","007","","N","I","",""
"NTW","RUCA","011","019","N","I","N",""
"NTW","RUCA","012","004","N","I","N",""
"NTW","RUCA","013","","N","I","",""
"NTW","RUCA","014","","N","I","",""
"NTW","RUCA","019","","N","I","",""
"NTW","RUCA","037","018","N","I","N",""
"NTW","RUCA","038","005","N","I","N",""
"NTW","RUCA","039","022","N","I","N",""
"NTW","RUCA","102","020","N","I","N",""
"NTW","RUCA","103","021","N","I","N",""
"NTW","RUCA","112","","N","I","",""
"NTW","RUDA","002","025","N","I","N",""
"NTW","RUDA","003","","N","I","","904000"
"NTW","RUDA","007","","N","I","",""
"NTW","RUDA","011","019","N","I","N",""
"NTW","RUDA","012","004","N","I","N",""
"NTW","RUDA","013","","N","I","",""
"NTW","RUDA","014","","N","I","",""
"NTW","RUDA","019","","N","I","",""
"NTW","RUDA","037","018","N","I","N",""
"NTW","RUDA","038","005","N","I","N",""
"NTW","RUDA","039","027","N","I","N",""
"NTW","RUDA","102","025","N","I","N",""
"NTW","RUDA","103","026","N","I","N",""
"NTW","RUDA","112","","N","I","",""
"NTW","RALA","002","008","N","I","N",""
"NTW","RALA","003","002","C","I","N",""
"NTW","RALA","007","","N","I","",""
"NTW","RALA","011","007","N","D","N",""
"NTW","RALA","012","006","N","I","N",""
"NTW","RALA","013","005","N","D","N",""
"NTW","RALA","014","","N","I","",""
"NTW","RALA","019","","N","I","",""
"NTW","RALA","037","007","N","I","N",""
"NTW","RALA","038","045","N","I","N",""
"NTW","RALA","039","046","N","I","N",""
"NTW","RALA","102","008","N","I","N",""
"NTW","RALA","103","","N","I","",""
"NTW","RALA","112","","N","I","",""
"NTW","RK1A","APL","","N","I","","NTW"
"NTW","RK1A","CUO","","N","I","","X"
"NTW","RK1A","PIV","","N","I","","1"
"NTW","RK1A","REV","","N","I","","XX"
"NTW","RK1A","STD","","N","I","","XX"
"NTW","RK1A","001","","N","I","","0600"
"NTW","RK1A","003","003","N","I","N",""
"NTW","RK2A","A#O","","N","I","",""
"NTW","RK2A","HOR","012","N","I","N",""
"NTW","RK2A","M+D","013","N","I","N",""
"NTW","RK2A","MIL","","N","I","",""
"NTW","RK2A","001","","N","I","","0600"
"NTW","RK2A","011","011","N","I","N",""
"NTW","RK2A","037","037","N","I","N",""
"NTW","RK2A","998","","N","I","","1040"
"NRT","RKEY","001","001","C","I","N",""
"MCI","RVCO","001","001","C","I","N",""
"PMT","RSAF","001","001","C","I","N",""
"NRT","RINT","001","001","C","I","N",""
"PYT","RINT","001","001","C","I","N",""
"PMT","RSFC","001","001","C","I","N",""
"CCR","G800","007","007","N","D","N",""
"CCR","ETAG","001","001","C","I","N",""
"CCR","G800","011","037","N","I","N",""
"CCR","G800","070","070","N","I","N",""
"CCR","RENT","001","001","C","I","N",""
"CCR","RK01","APL","","N","I","","CCR"
"CCR","RK01","CUO","","N","I","","X"
"CCR","RK01","PIV","","N","I","","1"
"CCR","RK01","REV","","N","I","","XX"
"CCR","RK01","STD","","N","I","","XX"
"CCR","RK01","001","COD","C","I","N",""
"CCR","RK01","003","003","C","I","N",""
"CCR","RK02","A#O","","N","I","","*DATE"
"CCR","RK02","HOR","","N","I","","*TIME"
"CCR","RK02","M+D","07A","N","D","N",""
"CCR","RK02","MIL","","N","I","","*DATE"
"CCR","RK02","001","COD","C","I","N",""
"CCR","RK02","011","11B","N","I","N",""
"CCR","RK02","037","011","N","I","N",""
"CCR","RK02","998","","N","I","","2299"
"CCR","RK03","001","001","C","I","N",""
"CCR","RLHT","CUO","","N","I","",""
"CCR","RLHT","SID","","N","I","",""
"CCR","RLHT","TKN","","N","I","","STKN"
"CCR","RLHT","001","001","N","I","N",""
"CCR","RLHT","002","002","N","I","N",""
"CCR","RLHT","003","003","N","I","N",""
"CCR","RLHT","004","004","N","I","N",""
"CCR","RLHT","005","005","N","D","N",""
"CCR","RLHT","006","006","N","I","N",""
"CCR","RLHT","007","007","N","I","N",""
"CCR","RLHT","008","008","N","I","N",""
"CCR","RLHT","009","009","N","I","N",""
"CCR","RLHT","010","010","N","I","N",""
"CCR","RLHT","011","011","N","I","N",""
"CCR","RLHT","012","012","N","I","N",""
"CCR","RLHT","013","013","N","I","N",""
"CCR","RLHT","014","014","N","I","N",""
"CCR","RLHT","015","015","N","I","N",""
"CCR","RLHT","016","016","N","I","N",""
"CCR","RLHT","017","017","N","I","N",""
"CCR","RLHT","018","018","N","I","N",""
"CCR","RLHT","019","019","N","I","N",""
"CCR","RLHT","020","020","N","I","N",""
"CCR","RLHT","021","021","N","I","N",""
"CCR","RLHT","022","022","N","I","N",""
"CCR","RLHT","023","","N","I","N",""
"CCR","RLHT","024","024","N","I","N",""
"CCR","RLHT","025","025","N","I","N",""
"CCR","RLHT","026","026","N","I","N",""
"CCR","RLHT","027","027","N","I","N",""
"CCR","RLHT","028","028","N","I","N",""
"CCR","RLHT","029","029","N","I","N",""
"CCR","RLHT","030","030","N","I","N",""
"CCR","RLHT","031","031","N","I","N",""
"CCR","RLHT","032","032","N","I","N",""
"CCR","RLHT","033","033","N","I","N",""
"CCR","RLHT","034","034","N","I","N",""
"CCR","RLHT","035","035","N","I","N",""
"CCR","RLHT","036","036","N","I","N",""
"CCR","RLHT","037","037","N","I","N",""
"CCR","RLHT","038","038","N","I","N",""
"CCR","RLHT","039","039","N","I","N",""
"CCR","RLHT","040","040","N","I","N",""
"CCR","RLHT","041","041","N","I","N",""
"CCR","RLHT","042","042","N","I","N",""
"CCR","RLHT","043","043","N","I","N",""
"CCR","RLHT","044","044","N","I","N",""
"CCR","RLHT","045","045","N","I","N",""
"CCR","RLHT","046","046","N","I","N",""
"CCR","RLHT","047","047","N","I","N",""
"CCR","RLHT","048","048","N","I","N",""
"CCR","RLHT","049","049","N","I","N",""
"CCR","RLHT","050","050","N","I","N",""
"CCR","RLHT","051","051","N","I","N",""
"CCR","RLHT","052","052","N","I","N",""
"CCR","RLHT","053","053","N","I","N",""
"CCR","RLHT","054","054","N","I","N",""
"CCR","RLHT","055","055","N","I","N",""
"CCR","RLHT","056","056","N","I","N",""
"CCR","RLHT","057","057","N","I","N",""
"CCR","RLHT","058","058","N","I","N",""
"CCR","RLHT","059","059","N","I","N",""
"CCR","RLHT","060","060","N","I","N",""
"CCR","RLHT","061","061","N","I","N",""
