"ISOAPL","ISOBMP","ISOTIP","ISOFIL","ISOALI","ISOLLN","ISOLNG","ISODSC","ISODFT","ISOFLG"
"PYT",2,"A","","",2,19,"Numero de Tarjeta","","S"
"PYT",3,"A","","",0,6,"Código de Procesamiento","",""
"PYT",4,"A","","",0,12,"Valor de la transacción en la moneda de Orige","",""
"PYT",5,"A","","",0,12,"Valor de la transacción en Dólares","",""
"PYT",6,"A","","",0,12,"Valor de la Transacción en moneda local","",""
"PYT",7,"A","","",0,10,"Fecha y Hora","",""
"PYT",11,"A","","",0,6,"STAN (System Trace Audit Number)","",""
"PYT",12,"A","","",0,6,"Hora origen","",""
"PYT",13,"A","","",0,4,"Fecha origen","",""
"PYT",14,"A","","",0,4,"Expiration Date","","T"
"PYT",18,"A","","",0,4,"MCC - Ramo de Actividad del Comercio","",""
"PYT",19,"A","","",0,3,"Código de país del adquirente","",""
"PYT",22,"A","","",0,3,"Modo de Entrada","",""
"PYT",25,"A","","",0,2,"Point of Service Cond Code","",""
"PYT",26,"A","","",0,2,"Point-of-Service PIN Capture Code","",""
"PYT",32,"A","","",2,11,"Código de la red de origen","",""
"PYT",37,"A","","",0,12,"RRN - Número de Referencia","",""
"PYT",38,"A","","",0,6,"Numero de Autorización","",""
"PYT",39,"A","","",0,2,"Código de motivo de respuesta","",""
"PYT",41,"A","","",0,8,"Identificación del Terminal","",""
"PYT",42,"A","","",0,15,"Identificador del Comercio - PV","",""
"PYT",43,"A","","",0,40,"Nombre y Localización del Comercio","",""
"PYT",44,"A","","",2,25,"DE44 Additional Response Data","",""
"PYT",45,"A","","",2,76,"Service Cod Track 1","",""
"PYT",48,"A","","",3,512,"DE48 Additiona Data PrivateUse","","T     S"
"PYT",49,"A","","",0,3,"Código de Moneda de origen","",""
"PYT",50,"A","","",0,3,"Código de Moneda de Liquidación","",""
"PYT",51,"A","","",0,3,"Código de Moneda del Emisor","",""
"PYT",60,"A","","",2,12,"DE60 ADDITIONAL POS INFORMATION","",""
"PYT",61,"A","","",3,26,"DE61 Point of Service(POS)Data","","      S"
"PYT",62,"A","","",3,250,"DE62 Custom Payment Service Fields","",""
"PYT",63,"A","","",3,250,"Network Data","",""
"PYT",67,"A","","",0,2,"Cantidad de Cuotas","",""
"PYT",70,"A","","",0,3,"Network Management Information code","",""
"PYT",114,"A","","",3,999,"Datos Adicionales 1","","      S"
"PYT",115,"A","","",3,999,"Datos Adicionales 2","","      S"
"PYT",123,"A","","",0,315,"DE123 Verification Data","",""
"PYT",126,"A","","",0,104,"DE126 VISA PRIVATE-USE FIELDS","",""
"PYT",127,"A","","",0,99,"Fraude Score de Risk Center","",""
"QPY",1,"A","0","I",0,16,"Secondary Bitmap","",""
"QPY",2,"A","0","I",2,21,"Numero de Tarjeta / Cuenta","","S"
"QPY",3,"A","0","I",0,6,"Processing code.","",""
"QPY",4,"A","0","I",0,12,"Monto","",""
"QPY",5,"A","0","I",0,12,"Amount,Settlement","",""
"QPY",7,"A","0","I",0,10,"Fecha Transaccion","",""
"QPY",11,"A","0","I",0,6,"Quick Pay ID","",""
"QPY",12,"A","0","I",0,6,"Hora","",""
"QPY",13,"A","0","I",0,4,"Fecha AA/MM","",""
"QPY",14,"A","0","I",0,4,"Expiration Date","",""
"QPY",15,"A","0","I",0,4,"Date, Settlement","",""
"QPY",18,"A","0","I",0,4,"Merchant Type","",""
"QPY",19,"A","0","I",0,3,"Pais","",""
"QPY",21,"A","0","I",0,3,"Fwd Inst Country Code","",""
"QPY",22,"A","0","I",0,3,"Point of service entry mode","",""
"QPY",25,"A","0","I",0,2,"Point of service condition code","",""
"QPY",26,"A","0","I",2,2,"Datos comunicacion switch vs canales","",""
"QPY",32,"A","0","I",2,11,"Codigo Institucion","",""
"QPY",35,"A","0","I",2,37,"Track 2","",""
"QPY",37,"A","0","I",0,12,"RRN","",""
"QPY",38,"A","0","I",0,6,"Numero Autorizacion","",""
"QPY",39,"A","0","I",0,2,"Respuesta","",""
"QPY",41,"A","0","I",0,8,"Terminal","",""
"QPY",42,"A","0","I",0,15,"Card Accept ID","",""
"QPY",43,"A","0","I",0,40,"Card Aceptor Name/Location","",""
"QPY",44,"A","0","I",2,26,"Address Ver Data","",""
"QPY",46,"A","0","I",3,10,"ADD ISO","",""
"QPY",48,"A","0","I",1,170,"Dig.Verific /Free Text Msg /Otros...","",""
"QPY",49,"A","0","I",0,3,"Codigo de Moneda","",""
"QPY",50,"A","0","I",0,3,"Moneda campo 50","",""
"QPY",54,"A","0","I",3,120,"ADD AMTS","",""
"QPY",60,"A","0","I",3,15,"Campo 60","",""
"QPY",61,"A","0","I",1,19,"Other Amount","",""
"QPY",63,"A","0","I",3,50,"Network Data","",""
"QPY",65,"A","0","I",0,16,"PRUEBA DE CAMPO 065","",""
"QPY",66,"A","0","I",0,3,"Security Code CVV2","",""
"QPY",67,"A","0","I",0,2,"Numero de Cuotas","",""
"QPY",90,"A","0","I",0,42,"Origin Data","",""
"QPY",98,"A","0","I",0,25,"Payee","",""
"QPY",100,"A","0","I",2,100,"RCV_Inst_ID","",""
"QPY",102,"A","0","I",2,28,"Account Identification 1","",""
"QPY",104,"A","0","I",3,50,"Trans Desc","",""
"QPY",105,"A","0","I",3,100,"Datos de los productos de la compra","",""
"QPY",106,"A","0","I",3,300,"Resv ISO 106","",""
"QPY",108,"A","0","I",3,10,"Resv ISO 108","",""
"QPY",109,"A","0","I",3,50,"Información de Puntos","",""
"QPY",110,"A","0","I",3,51,"Información de la compra","",""
"QPY",111,"A","0","I",3,50,"QA Data","",""
"QPY",112,"A","0","I",3,20,"Resv National 112","",""
"QPY",113,"A","0","I",3,200,"Información adicional cliente 1","",""
"QPY",115,"A","0","I",3,30,"Resv National 115","",""
"QPY",116,"A","0","I",3,50,"Resv National 116","",""
"QPY",117,"A","0","I",3,500,"Datos comunicacion switch vs canales","",""
"RBM",1,"A","","",0,19,"Bitmap Secundario","","  X"
"RBM",2,"D","","",2,21,"Primary Acct Number","","  X"
"RBM",3,"A","","",0,6,"Processing Code.","",""
"RBM",4,"D","","",0,12,"Transaction Amount.","",""
"RBM",7,"D","","",0,10,"Transmission Date and Time.","",""
"RBM",11,"D","","",0,6,"System Trace Audit Number.","",""
"RBM",12,"A","","",0,6,"Local transaction time.","",""
"RBM",13,"A","","",0,4,"Local transaction date.","",""
"RBM",14,"A","","",0,4,"Expiration Date.","",""
"RBM",15,"A","","",0,4,"Settlement Date.","",""
"RBM",17,"D","","",0,4,"Capture Date.","",""
"RBM",18,"A","","",0,4,"Merchant Type.","",""
"RBM",22,"A","","",0,3,"Point of service entry mode.","",""
"RBM",25,"A","","",0,2,"Point of service condition code.","",""
"RBM",27,"A","","",0,1,"NN","",""
"RBM",32,"D","","",2,13,"Adquiring Institution Identification Code.","",""
"RBM",35,"A","","",2,39,"Track 2 Data.","",""
"RBM",37,"D","","",0,12,"Retrieval Reference Number.","",""
"RBM",38,"D","","",0,6,"Authorization Identification Response.","",""
"RBM",39,"D","","",0,2,"Response Code.","",""
"RBM",41,"A","","",0,16,"Card Acceptor Terminal Identification.","",""
"RBM",42,"A","","",0,15,"Card Acceptor Identification Code.","",""
"RBM",43,"A","","",0,40,"Card Acceptor Name/Location.","",""
"RBM",44,"A","","",2,27,"Additional Response Data.","",""
"RBM",45,"A","","",2,78,"Track 1 Data.","",""
"RBM",47,"A","","",3,39,"National Aditional Data","",""
"RBM",48,"A","","",3,47,"Additional Data - Base24 - ATM Data.","",""
"RBM",49,"A","","",0,3,"Transaction currency code.","",""
"RBM",52,"A","","",0,16,"Personal identification number (PIN).","",""
"RBM",53,"A","","",0,16,"Security Related - Control Information","",""
"RBM",54,"A","","",3,122,"Additional Amounts.","",""
"RBM",60,"A","","",3,22,"Terminal Data.","",""
"RBM",61,"A","","",3,22,"Card Issuer.","",""
"RBM",63,"A","","",3,600,"Network Data.","",""
"RBM",64,"A","","",0,16,"NN","",""
"RBM",65,"A","","",0,1,"NN","",""
"RBM",67,"A","","",0,2,"Extended payment code","","  X"
"RBM",70,"A","","",0,3,"Network Management Information Code","",""
"RBM",90,"D","","",0,42,"Original Data Elements.","",""
"RBM",95,"A","","",0,42,"Replacement Amounts.","",""
"RBM",100,"D","","",2,13,"Receiving Institution Identification Code.","",""
"RBM",102,"A","","",2,30,"Account Identefication 1.","",""
"RBM",120,"A","","",3,153,"BASE24 Key Management","",""
"RBM",121,"A","","",3,23,"Auth Indicators.","",""
"RBM",122,"A","","",3,104,"BASE24-fhm POS Segment Information.","",""
"RBM",123,"A","","",3,178,"BASE24 Cryptographic Service Message","",""
"RBM",124,"A","","",3,12,"Batch y Shift Data.","",""
"RBM",125,"A","","",0,15,"Settlement Data.","",""
"RBM",126,"A","","",3,256,"BASE24-fhm POS CAF Account Segment Informatio","","  S"
"RBM",127,"A","","",3,100,"BASE24-fhm POS CAF Address Segment Informatio","",""
"RBM",128,"A","","",0,16,"BASE24-fhm POS CAF Address Segment Informatio","","  X"
"RSA",1,"A","","",0,16,"Bit Map, Extendido","",""
"RSA",2,"A","","",2,19,"PAN","",""
"RSA",3,"A","","",0,6,"Código de Proceso o Transacción","",""
"RSA",4,"A","","",0,12,"Monto, Transacción","",""
"RSA",5,"A","","",0,12,"Monto, Settlement","",""
"RSA",7,"A","","",0,10,"Transmisión Date/Time","",""
"RSA",9,"A","0","I",0,8,"Tasa de conversión, settlement","",""
"RSA",10,"A","0","I",0,3,"CVV2","",""
"RSA",11,"A","","",0,6,"System Trace audit. Nro.","",""
"RSA",12,"A","","",0,6,"Time, Local Transaction","",""
"RSA",13,"A","","",0,4,"Date, Local Transaction","",""
"RSA",14,"A","","",0,4,"Date, Expiration","",""
"RSA",15,"A","","",0,4,"Date, Settlement","",""
"RSA",18,"A","","",0,4,"Tipo de Comercio o Tipo de Terminal usada","",""
"RSA",19,"A","","",0,3,"Código de país adquiriente","",""
"RSA",21,"A","","",0,3,"Código del País Emisor","152",""
"RSA",22,"A","","",0,3,"Modo de Entrada del PAN y del PIN","",""
"RSA",25,"A","","",0,2,"Point of Service Condition Code","",""
"RSA",26,"A","0","I",0,2,"Point Of Service Pin Capture Code","",""
"RSA",32,"A","","",2,11,"Código de Identif. institución Adquiriente","",""
"RSA",35,"A","0","I",0,37,"Datos del Track II","",""
"RSA",37,"A","0","I",0,12,"Número de Referencia","",""
"RSA",38,"A","0","I",0,6,"Código de Autorización","",""
"RSA",39,"A","0","I",0,2,"Código de Respuesta","",""
"RSA",41,"A","0","I",0,8,"Número de Terminal","",""
"RSA",42,"A","0","I",0,15,"Número identificador de la tienda","",""
"RSA",43,"A","0","I",0,40,"Card Aceptor Name/Location","",""
"RSA",44,"A","0","I",2,12,"código de autorización adicional","",""
"RSA",46,"A","0","I",2,20,"Datos Adicionales respuesta compra internet","",""
"RSA",47,"A","0","I",3,165,"Datos Adicionales DICOM - Cámara","",""
"RSA",48,"A","0","I",3,70,"Additional Data - Fechas Adicionales","",""
"RSA",49,"A","0","I",0,3,"Moneda usada para la transacción","",""
"RSA",50,"A","0","I",0,3,"Moneda usada para la reconciliación","",""
"RSA",52,"A","0","I",0,16,"Pin o Clave Personal","",""
"RSA",53,"A","0","I",0,16,"Nuevo Pin o Clave","",""
"RSA",54,"A","0","I",3,220,"Montos o Saldos","",""
"RSA",60,"A","0","I",3,34,"Advice/Reversal Reason Code","",""
"RSA",61,"A","0","I",3,20,"Tasa de Interés","",""
"RSA",63,"A","0","I",3,200,"Network data - NO DEFINIDO EN DOC SATIF","",""
"RSA",67,"A","0","I",0,2,"Número de Cuotas","",""
"RSA",70,"A","0","I",0,3,"Network Management Information code","",""
"RSA",90,"A","0","I",0,42,"Original data elements","",""
"RSA",91,"A","0","I",0,1,"File update code","",""
"RSA",95,"A","0","I",0,42,"Replacement Amounts","",""
"RSA",98,"A","0","I",0,25,"Nombre del Emisor","",""
"RSA",100,"A","0","I",3,50,"Receiving Institution ID","",""
"RSA",101,"A","0","I",3,17,"Nombre del archivo a actualizar","",""
"RSA",102,"A","0","I",2,28,"Account Identification 1","",""
"RSA",103,"A","0","I",2,28,"Account Identification 2","",""
"RSA",104,"A","0","I",3,100,"Transaction Description","",""
"RSA",105,"A","0","I",3,512,"Large private Data 1 (UPC)","",""
"RSA",106,"A","0","I",3,512,"Large private Data 2 (Compra por internet)","",""
"RSA",107,"A","0","I",3,50,"Large private Data 3 (Campa¦as)","",""
"RSA",108,"A","0","I",3,10,"Información Transacciones Diferidas","",""
"RSA",109,"A","0","I",3,50,"Información de Puntos","",""
"RSA",110,"A","0","I",3,51,"Información de la compra","",""
"RSA",111,"A","0","I",3,110,"Nombre completo","",""
"RSA",112,"A","0","I",3,20,"Indicadores del Cliente y cuenta","",""
"RSA",113,"A","0","I",3,30,"Información Adicional Cliente 1","",""
"RSA",114,"A","0","I",3,12,"Información De Estado De Elementos","",""
"RSA",115,"A","0","I",3,15,"RUT Principal","",""
"RSA",116,"A","0","I",3,30,"Número De Teléfono","",""
"RSA",117,"A","0","I",3,210,"Datos Comunicación Switch Vs Canales","",""
"RSA",118,"A","0","I",3,512,"Datos De La Cuenta","",""
"RSA",119,"A","0","I",3,512,"Datos Del Cross Referente","",""
"RSA",120,"A","0","I",3,80,"Información Bancaria y De Cheque (DefxCMR)","",""
"RSA",121,"A","0","I",3,512,"Montos Adicionales","",""
"RSA",122,"A","0","I",3,512,"Datos Adicionales","",""
"RSA",123,"A","0","I",3,512,"Reserved Private (AVS data)","",""
"RSA",124,"A","0","I",3,512,"Datos De La Tarjeta","",""
"RSA",125,"A","0","I",3,512,"Network Managment Information Data","",""
"RSA",126,"A","0","I",3,512,"Información Telcos","",""
"RWS",1,"A","","",0,16,"Bit Map, Extended","",""
"RWS",2,"A","","",2,19,"Primary Acct Number","","S"
"RWS",3,"D","","",0,6,"Processing Code","",""
"RWS",4,"D","","",0,12,"Amount Transaction","",""
"RWS",5,"D","","",0,12,"Amount Settlement","",""
"RWS",7,"D","","",0,10,"Transmission Date/Time","",""
"RWS",9,"D","","",0,8,"Tasa de Conversión","",""
"RWS",10,"D","","",0,4,"Date, CardHolder Billing Date","",""
"RWS",11,"D","","",0,6,"System Trace Audit Number","",""
"RWS",12,"D","","",0,6,"Local Transaction Time","",""
"RWS",13,"D","","",0,4,"Local Transaction Date","",""
"RWS",14,"D","","",0,4,"Expiration Date","",""
"RWS",15,"D","","",0,4,"Settlement Date","",""
"RWS",18,"D","","",0,4,"Tipo de Comercio o Tipo de Terminal usada","",""
"RWS",19,"D","","",0,3,"Código de País Adquiriente","",""
"RWS",22,"D","","",0,3,"Modo de Entrada del PAN y del PIN","",""
"RWS",25,"D","","",0,2,"Point of Service Condition Code","",""
"RWS",26,"D","","",0,2,"Point Of Service Pin Capture Code","",""
"RWS",32,"D","","",2,11,"Código Identificación Institución Adquiriente","",""
"RWS",35,"A","","",2,37,"Datos del Track II","","S"
"RWS",37,"A","","",0,12,"Número de Referencia","",""
"RWS",38,"A","","",0,6,"Código de Autorización","",""
"RWS",39,"A","","",0,2,"Código de Respuesta","",""
"RWS",41,"A","","",0,8,"Número de Terminal","",""
"RWS",42,"A","","",0,15,"Número identificador de la tienda","",""
"RWS",43,"A","","",0,40,"Tarjeta Nombre/Localidad","",""
"RWS",44,"A","","",2,26,"Datos Adic Respta - Est Final y Cod Autorizac","",""
"RWS",46,"A","","",2,20,"Datos Adic Respta Compra Internet/Kioskos ATM","",""
"RWS",47,"A","","",3,165,"Datos Adicionales- información DICOM - Camara","",""
"RWS",48,"A","","",3,70,"Additional Data-Private","",""
"RWS",49,"D","","",0,3,"Moneda Usada Para la Transacción","",""
"RWS",50,"D","","",0,3,"Código Moneda de Transacción","",""
"RWS",51,"D","","",0,3,"Cardholder Bill Curr Code Bm51","",""
"RWS",52,"D","","",0,16,"Pin o Clave Personal","",""
"RWS",53,"D","","",0,16,"Nuevo Pin o Clave","",""
"RWS",54,"A","","",3,180,"Montos o Saldos","",""
"RWS",60,"A","","",3,6,"Código de Reversa","",""
"RWS",61,"A","","",3,8,"Tasa de Interés","",""
"RWS",63,"A","","",3,999,"Reserved Private (OAR Indicator)","",""
"RWS",67,"D","","",0,2,"Número de Cuotas","",""
"RWS",70,"D","","",0,3,"Network Management Information Code","",""
"RWS",90,"D","","",0,42,"Original Data Element","",""
"RWS",91,"A","","",0,1,"Código de actualización de archivos","",""
"RWS",95,"D","","",0,42,"Replacement Amounts","",""
"RWS",98,"A","","",0,25,"Nombre del emisor","",""
"RWS",100,"A","","",2,20,"Receiving Institution ID","",""
"RWS",101,"A","","",1,5,"Nombre de archivo a actualizar","",""
"RWS",102,"A","","",2,28,"Account Identification 1","",""
"RWS",103,"A","","",2,28,"Account Identification 2","",""
"RWS",104,"A","","",3,100,"Descripción de la transacción","",""
"RWS",105,"A","","",3,50,"Large Private Data (Mini Statement/OAR Data)","",""
"RWS",106,"A","","",3,435,"Large private Data 2","",""
"RWS",107,"A","","",3,999,"Reserved Private (Check data)","",""
"RWS",108,"A","","",3,10,"Información para transacciones diferidas","",""
"RWS",109,"A","","",3,36,"Cantidad de puntos acumulados","",""
"RWS",110,"A","","",3,51,"Orden de compra para transacciones empresar","",""
"RWS",111,"A","","",3,75,"Nombre del cliente","",""
"RWS",112,"A","","",3,999,"Indicadores del estado de la cuenta","",""
"RWS",113,"A","","",3,999,"Información adicional del cliente","",""
"RWS",114,"A","","",3,12,"Indicadres estado de cliente, tarjetas, ctas","",""
"RWS",115,"A","","",3,20,"Información del RUC principal","",""
"RWS",116,"A","","",3,999,"Info adicional para transacciones IVR","",""
"RWS",117,"A","","",3,14,"Reservado para uso nacional","",""
"RWS",118,"A","","",3,999,"Detalle de la cuenta a actualizar","",""
"RWS",120,"A","","",3,80,"Informacion del banco y cheque","",""
"RWS",121,"A","","",3,360,"Observaciones o notas","",""
"RWS",122,"A","","",3,999,"Datos adicionales","",""
"RWS",123,"A","","",3,999,"Reserved Private (Check data)","",""
"RWS",124,"A","","",1,2,"Datos de la tarjeta","",""
"RWS",125,"A","","",2,50,"Network Management Information Data","",""
"RWS",126,"A","","",3,600,"Información TELCOS","",""
"RWS",127,"A","","",3,999,"IDs del cliente","",""
"SAT",1,"A","","",0,16,"Bit Map, Extendido","",""
"SAT",2,"A","","",2,19,"PAN","",""
"SAT",3,"A","","",0,6,"Código de Proceso o Transacción","",""
"SAT",4,"A","","",0,12,"Monto, Transacción","",""
"SAT",5,"A","","",0,12,"Monto, Settlement","",""
"SAT",7,"A","","",0,10,"Transmisión Date/Time","",""
"SAT",9,"A","0","I",0,8,"Tasa de conversión, settlement","",""
"SAT",10,"A","0","I",0,3,"CVV2","",""
"SAT",11,"A","","",0,6,"System Trace audit. Nro.","",""
"SAT",12,"A","","",0,6,"Time, Local Transaction","",""
"SAT",13,"A","","",0,4,"Date, Local Transaction","",""
"SAT",14,"A","","",0,4,"Date, Expiration","",""
"SAT",15,"A","","",0,4,"Date, Settlement","",""
"SAT",18,"A","","",0,4,"Tipo de Comercio o Tipo de Terminal usada","",""
"SAT",19,"A","","",0,3,"Código de país adquiriente","",""
"SAT",21,"A","","",0,3,"Código del País Emisor","152",""
"SAT",22,"A","","",0,3,"Modo de Entrada del PAN y del PIN","",""
"SAT",25,"A","","",0,2,"Point of Service Condition Code","",""
"SAT",26,"A","0","I",0,2,"Point Of Service Pin Capture Code","",""
"SAT",32,"A","","",2,11,"Código de Identif. institución Adquiriente","",""
"SAT",35,"A","0","I",0,37,"Datos del Track II","",""
"SAT",37,"A","0","I",0,12,"Número de Referencia","",""
"SAT",38,"A","0","I",0,6,"Código de Autorización","",""
"SAT",39,"A","0","I",0,2,"Código de Respuesta","",""
"SAT",41,"A","0","I",0,8,"Número de Terminal","",""
"SAT",42,"A","0","I",0,15,"Número identificador de la tienda","",""
"SAT",43,"A","0","I",0,40,"Card Aceptor Name/Location","",""
"SAT",44,"A","0","I",2,12,"código de autorización adicional","",""
"SAT",46,"A","0","I",2,20,"Datos Adicionales respuesta compra internet","",""
"SAT",47,"A","0","I",3,165,"Datos Adicionales DICOM - Cámara","",""
"SAT",48,"A","0","I",3,70,"Additional Data - Fechas Adicionales","",""
"SAT",49,"A","0","I",0,3,"Moneda usada para la transacción","",""
"SAT",50,"A","0","I",0,3,"Moneda usada para la reconciliación","",""
"SAT",52,"A","0","I",0,16,"Pin o Clave Personal","",""
"SAT",53,"A","0","I",0,16,"Nuevo Pin o Clave","",""
"SAT",54,"A","0","I",3,220,"Montos o Saldos","",""
"SAT",60,"A","0","I",3,34,"Advice/Reversal Reason Code","",""
"SAT",61,"A","0","I",3,20,"Tasa de Interés","",""
"SAT",63,"A","0","I",3,200,"Network data - NO DEFINIDO EN DOC SATIF","",""
"SAT",67,"A","0","I",0,2,"Número de Cuotas","",""
"SAT",70,"A","0","I",0,3,"Network Management Information code","",""
"SAT",90,"A","0","I",0,42,"Original data elements","",""
"SAT",91,"A","0","I",0,1,"File update code","",""
"SAT",95,"A","0","I",0,42,"Replacement Amounts","",""
"SAT",98,"A","0","I",0,25,"Nombre del Emisor","",""
"SAT",100,"A","0","I",3,50,"Receiving Institution ID","",""
"SAT",101,"A","0","I",3,17,"Nombre del archivo a actualizar","",""
"SAT",102,"A","0","I",2,28,"Account Identification 1","",""
"SAT",103,"A","0","I",2,28,"Account Identification 2","",""
"SAT",104,"A","0","I",3,100,"Transaction Description","",""
"SAT",105,"A","0","I",3,512,"Large private Data 1 (UPC)","",""
"SAT",106,"A","0","I",3,512,"Large private Data 2 (Compra por internet)","",""
"SAT",107,"A","0","I",3,50,"Large private Data 3 (Campa¦as)","",""
"SAT",108,"A","0","I",3,10,"Información Transacciones Diferidas","",""
"SAT",109,"A","0","I",3,50,"Información de Puntos","",""
"SAT",110,"A","0","I",3,51,"Información de la compra","",""
"SAT",111,"A","0","I",3,110,"Nombre completo","",""
"SAT",112,"A","0","I",3,20,"Indicadores del Cliente y cuenta","",""
"SAT",113,"A","0","I",3,30,"Información Adicional Cliente 1","",""
"SAT",114,"A","0","I",3,12,"Información De Estado De Elementos","",""
"SAT",115,"A","0","I",3,15,"RUT Principal","",""
"SAT",116,"A","0","I",3,30,"Número De Teléfono","",""
"SAT",117,"A","0","I",3,210,"Datos Comunicación Switch Vs Canales","",""
"SAT",118,"A","0","I",3,512,"Datos De La Cuenta","",""
"SAT",119,"A","0","I",3,512,"Datos Del Cross Referente","",""
"SAT",120,"A","0","I",3,80,"Información Bancaria y De Cheque (DefxCMR)","",""
"SAT",121,"A","0","I",3,512,"Montos Adicionales","",""
"SAT",122,"A","0","I",3,512,"Datos Adicionales","",""
"SAT",123,"A","0","I",3,512,"Reserved Private (AVS data)","",""
"SAT",124,"A","0","I",3,512,"Datos De La Tarjeta","",""
"SAT",125,"A","0","I",3,512,"Network Managment Information Data","",""
"SAT",126,"A","0","I",3,512,"Información Telcos","",""
"SRV",1,"A","0","I",0,16,"Bitmap Secundario","",""
"SRV",2,"D","0","I",2,21,"Primary Acct Number","",""
"SRV",3,"D","0","I",0,6,"Procesing Code","",""
"SRV",4,"D","0","I",0,12,"Transaction AMT","",""
"SRV",7,"D","0","I",0,10,"GMT Transmit Date Time","",""
"SRV",11,"D","0","I",0,6,"Sys Trace Audit Number","",""
"SRV",12,"D","0","I",0,6,"Local Tran Time","",""
"SRV",13,"D","0","I",0,4,"Local Tran Date","",""
"SRV",14,"D","0","I",0,4,"Expire Date","",""
"SRV",15,"D","0","I",0,4,"Settlement Date","",""
"SRV",17,"A","0","I",0,4,"Capture Date","",""
"SRV",18,"D","0","I",0,4,"Merchant Type","",""
"SRV",19,"D","0","I",0,3,"Acquiring Country Code","",""
"SRV",22,"D","0","I",0,4,"Pos Entry Mode","",""
"SRV",25,"D","0","I",0,2,"Pos Cond Code","",""
"SRV",32,"D","0","I",2,14,"ACQ Inst Id Code","",""
"SRV",35,"A","0","I",2,39,"TrackII","",""
"SRV",37,"D","0","I",0,12,"Rstrvl Ref Nbr","",""
"SRV",38,"D","0","I",0,6,"Auth Id Response","",""
"SRV",39,"D","0","I",0,2,"Response Code","",""
"SRV",41,"A","0","I",0,8," Card Acceptor Terminal Identification.","",""
"SRV",42,"A","0","I",0,15,"Card Aceptor Id","",""
"SRV",43,"A","0","I",0,40,"Card Aceptor Data","",""
"SRV",44,"A","0","I",2,27,"Additional Response Data.","",""
"SRV",45,"A","0","I",2,78,"Track 1 Data.","",""
"SRV",49,"D","0","I",0,3,"Tran Corruncy Code","",""
"SRV",52,"A","0","I",0,16,"PIN Data","",""
"SRV",53,"A","0","I",0,16,"Security Ctl Info","",""
"SRV",54,"A","0","I",2,122,"Aditional Amounts","",""
"SRV",59,"A","0","I",2,16,"Natl Pos Geo Data","",""
"SRV",60,"D","0","I",2,4,"Pos Entry Capability","",""
"SRV",63,"A","0","I",2,43,"Priv Use","",""
"SRV",70,"D","0","I",0,3,"Netw MGMT Info Code","",""
"SRV",90,"A","0","I",0,42,"Orig Data Elements","",""
"SRV",95,"A","0","I",0,42,"Replacement AMT","",""
"SRV",102,"D","0","I",0,30,"From ACCT Id","",""
"SRV",103,"D","0","I",0,30,"To ACCT Id","",""
"SRV",120,"A","0","I",3,250,"Key Management (S-120)","",""
"SRV",123,"A","0","I",3,550,"Cryptographic Service Message","",""
"SRV",126,"A","0","I",3,126,"Campo para Pagos de Servicios","",""
"SRV",128,"A","0","I",0,16,"Campo para MAC","",""
"TBK",1,"A","","",0,16,"Bit Primario","",""
"TBK",2,"A","","",2,19,"Número de Tarjeta","*TOKENIZAR","S"
"TBK",3,"D","","",0,6,"Código de Proceso","",""
"TBK",4,"D","","",0,12,"Monto Transacción","",""
"TBK",7,"D","","",0,10,"Fecha y Hora de Transacción","",""
"TBK",11,"D","","",0,6,"System Trace Audit Number.","",""
"TBK",12,"D","","",0,6,"Local Time","",""
"TBK",13,"D","","",0,4,"Local Date","",""
"TBK",14,"D","","",0,4,"Card Expiration Date","","T"
"TBK",15,"A","","",0,4,"Settlement date","",""
"TBK",17,"A","","",0,4,"Capture Date","",""
"TBK",18,"D","","",0,4,"Merchant Type","",""
"TBK",22,"D","","",0,3,"Card number entry mode","",""
"TBK",23,"D","","",0,3,"Card Sequence Number","",""
"TBK",25,"D","","",0,2,"Point of Service Condition Code","",""
"TBK",32,"D","","",2,11,"Acquiring Institution Code","",""
"TBK",35,"A","","",2,37,"Track 2","","S"
"TBK",37,"A","","",0,12,"Retrieval Reference Number","",""
"TBK",38,"A","","",0,6,"Authorization Code","",""
"TBK",39,"D","","",0,2,"Answer Code Base24 ISO","",""
"TBK",41,"A","","",0,16,"P.O.S. Terminal Identification","",""
"TBK",43,"A","","",0,40,"Store Name/Address /Origin store","",""
"TBK",45,"A","","",2,76,"Track 1","","T"
"TBK",48,"D","","",3,27,"Additional Data Base-24 POS Retailer Data","",""
"TBK",49,"D","","",0,3,"Transaction Currency Code","",""
"TBK",52,"A","","",0,16,"PIN Block","","T"
"TBK",53,"A","","",0,16,"BASE24-Información de control de seguridad","",""
"TBK",55,"A","","",3,512,"EMV Datos","","T"
"TBK",60,"A","","",3,11,"POS Entry Capability Code (Chip Visa)","",""
"TBK",61,"A","","",3,26,"Point of Service Date (Chip Master)","",""
"TBK",62,"A","","",3,128,"private data","",""
"TBK",63,"A","","",3,300,"Token Data","",""
"TBK",70,"D","","",0,3,"Network management information code","",""
"TBK",90,"D","","",0,42,"Original data elements","",""
"TBK",95,"D","","",0,42,"Replacement Amounts","",""
"TBK",100,"A","","",2,11,"Receiving Institution Identification Code","",""
"TBK",102,"A","","",2,30,"BASE24-pos Reserved8-Private","",""
"TBK",120,"A","","",3,6,"BASE24-Administración de Llaves","",""
"TBK",121,"A","","",3,150,"BASE24-pos Private-2","",""
